og_voo,qtde_ocorr,perc_ocorr
ARAGUACEMA,1,0.01
CONDOMÍNIO CLC,1,0.01
CONDOMÍNIO AMÉRICA BUSINESS PARK,1,0.01
CONCEIÇÃO DO ARAGUAIA,1,0.01
ARAGUARI,1,0.01
COMANDANTE ZEQUINHA / GRAND LAKE,1,0.01
COMANDANTE GUSTAVO KRAEMER,1,0.01
CONDOMÍNIO CONDE MATARAZZO,1,0.01
AJARANI,1,0.01
CHICO LEDUR,1,0.01
Aeródromo Serra Branca Agrícola,1,0.01
CAROLINA DE ASSIS REPETTO,1,0.01
BRENNAND,1,0.01
BRIGADEIRO LYSIAS AUGUSTO RODRIGUES,1,0.01
CARLOS ALBERTO DA COSTA NEVES,1,0.01
BUSATO II,1,0.01
Big Master,1,0.01
Bira Guimarães,1,0.01
FAZENDA BOA ESPERANÇA,1,0.01
C.T.O. ITAÚ,1,0.01
BARROCO LOPES,1,0.01
AGROPECUÁRIA TRATEX,1,0.01
CANGAPARA,1,0.01
AGROPECUÁRIA ANTUNES,1,0.01
AEROPORTO INTERNACIONAL AMÍLCAR CABRAL,1,0.01
DIANÓPOLIS,1,0.01
FAZ. REUNIDAS SCHLATTER,1,0.01
EVERALDO MORAES BARRETO,1,0.01
AERÓDROMO MUNICIPAL DE LINHARES,1,0.01
AGRIFOR,1,0.01
AGRICENTER,1,0.01
FAZENDA ARATAÚ,1,0.01
FAZENDA ARAPUCEL,1,0.01
FAZENDA AMONGUIJÁ,1,0.01
AERO AGRÍCOLA RIO CLARO,1,0.01
FAZENDA AGROFEL,1,0.01
AERO DO VALE MIRACATU,1,0.01
FAZENDA ACARAJÁ,1,0.01
AEROPORTO AGROER AVIAÇÃO,1,0.01
FAZ. SANTA MARIA DO PORTO DE CAPIVARA,1,0.01
DAMHA GOLFE,1,0.01
AEROBAKO,1,0.01
AERÓDROMO DE COLNIZA,1,0.01
DESTILARIA WD,1,0.01
DESTILARIA MEDASA,1,0.01
FAZ. SANTA MARIA,1,0.01
DERSO PORTILHO VIEIRA,1,0.01
ENTRE RIOS,1,0.01
CRISTÁLIA,1,0.01
ENCANTA MOÇA,1,0.01
DONA IRACEMA,1,0.01
DIOMÍCIO FREITAS,1,0.01
AEROVAÇO,1,0.01
DOLORES,1,0.01
FARIA LIMA SQUARE,1,0.01
EXTERIOR,1,0.01
EXECUTIVO,1,0.01
AEROCAMPO,1,0.01
AEROLEVE AERÓDROMO PRIVADO,1,0.01
AEROPUERTO INTERNACIONAL ROSARIO ISLAS MALVINAS,1,0.01
ETESCO TAKATSUGU J,1,0.01
DOUTOR JOSÉ MOURÃO,1,0.01
AEROPORTO INTERNACIONAL DE ARTIGAS,1,0.01
DOUTOR LÚCIO LIMA,1,0.01
AEROPUERTO INTERNACIONAL DR. AUGUSTO ROBERTO FUSTER,1,0.01
AEROPORTO MUNICIPAL BOM FUTURO,1,0.01
DR. WALTER BECKERT,1,0.01
DRAGÃO DO AR,1,0.01
AEROPORTO INTERNACIONAL DE SANTIAGO,1,0.01
Doutor Mauro de Souza Castro,1,0.01
EDU CHAVES,1,0.01
AEROPORTO INTERNACIONAL DE ORLANDO,1,0.01
AEROCLUBE DE ARACAJU,1,0.01
CORRENTINA,1,0.01
COSTA DOS COQUEIROS,1,0.01
TOCUMEN AEROPUERTO,1,0.01
JOÃO PINHEIRO,1,0.01
JUARA SUL,1,0.01
JUNDIÁ,1,0.01
JURUTI,1,0.01
LAGUNA,1,0.01
LAURO ANTÔNIO DA COSTA,1,0.01
LONE STAR,1,0.01
LUIZ GONZAGA LUTTI,1,0.01
MACAÚBAS,1,0.01
MAJOR BRIGADEIRO DO AR DOORGAL GOMES,1,0.01
MAJOR NEODO S. PEREIRA,1,0.01
MALWEE,1,0.01
MANATI-1,1,0.01
MUNICIPAL DE SÃO JOÃO DA BOA VISTA,1,0.01
MURARO - SP,1,0.01
Maicom Manica,1,0.01
Maricá,1,0.01
PETROBRAS 52,1,0.01
PETROBRAS 57,1,0.01
PETROBRAS 65,1,0.01
PIRAPORA,1,0.01
PIRENÓPOLIS,1,0.01
PISTA DE POUSO EVENTUAL,1,0.01
PISTA PLÁ E SILVA,1,0.01
JPO,1,0.01
MANICORÉ,1,0.01
ALTO PARAÍSO DE GOIÁS,1,0.01
MANTECORP,1,0.01
TRIMONTE,1,0.01
TRÊS LAGOAS,1,0.01
TRÊS MARIAS,1,0.01
SÃO LOURENÇO,1,0.01
Pista Juvelandia,1,0.01
PRIMO BITTI,1,0.01
PRESIDENTE JOÃO SUASSUNA,1,0.01
MARINA DO CARAIPÉ,1,0.01
MARISOL,1,0.01
MATO GROSSO,1,0.01
MBP - METALÚRGICA BARRA DO PIRAÍ,1,0.01
MELLO VIANA,1,0.01
MERCEDES-BENZ DO BRASIL LTDA,1,0.01
MARECHIARO,1,0.01
MERLUZA 1,1,0.01
MOCELIN II,1,0.01
MONTE ALEGRE,1,0.01
MONTE DAS OLIVEIRAS (CMT. SÉRGIO),1,0.01
MONTE HOREBE,1,0.01
MORADA NOVA DE MINAS,1,0.01
MOZARLÂNDIA,1,0.01
MISSÃO CATRIMANI,1,0.01
MARCOS DA CUNHA,1,0.01
PISTA SÃO JORGE,1,0.01
POCONÉ,1,0.01
PONTA DO SOL,1,0.01
PORANGATU,1,0.01
ARCOVERDE,1,0.01
COBRAPE,1,0.01
CMT. MARILDA ZAIDEN DE MESQUITA,1,0.01
CLUBE VOART,1,0.01
CLUBE DE VOO AEROQUADRA,1,0.01
CLUBE DE ULTRALEVES DO PIAUÍ,1,0.01
AUGUSTO SEVERO,1,0.01
CLUBE DE ESPORTES AÉREOS E NÁUTICOS DO PARÁ,1,0.01
ARROIO GRANDE,1,0.01
CLUBE DE AVIAÇÃO EXPERIMENTAL DO PARANÁ,1,0.01
CLAREIRA JARAQUI 01,1,0.01
AVL,1,0.01
Aeroporto Internacional Cheddi Jagan,1,0.01
CIFI,1,0.01
Aeroporto Regional de Canoa Quebrada Dragão do Mar,1,0.01
Aeroporto Regional de Guarapuava - Tancredo Thómas de Faria,1,0.01
Aeroporto Regional de Pato Branco,1,0.01
CLUBE AERODESPORTIVO SELVA,1,0.01
CHÁCARA MARINGÁ,1,0.01
ARMANDO NATALI,1,0.01
COMANDANTE GASTÃO,1,0.01
ALDEIA APALAI BONA,1,0.01
ALIMENTOS DALLAS,1,0.01
ÓBIDOS,1,0.01
FAZENDA BOA SORTE,1,0.01
PETROBRAS 35,1,0.01
NAMORADO-1 PNA-1,1,0.01
PORTO FRADE,1,0.01
PORTO MARINA ASTÚRIAS,1,0.01
POUSADA THAIMAÇU,1,0.01
POUSO ALEGRE,1,0.01
PETROBRAS 51,1,0.01
FAZENDA BOLA SETE,1,0.01
PETROBRAS 43,1,0.01
PEDRA PRETA,1,0.01
Matheus Lopes Maia da Silva,1,0.01
N&F,1,0.01
NASCIMENTO I,1,0.01
PEDERNEIRAS,1,0.01
NEW ENGLAND,1,0.01
NINHO DO BACURAU -,1,0.01
NORBE VIII,1,0.01
NOVA ANDRADINA,1,0.01
ORIÇANGA DE ABREU,1,0.01
OURO FINO,1,0.01
OUTEIRO DAS BRISAS,1,0.01
PAA-PIU,1,0.01
PAGRISA,1,0.01
PARQUE PAULISTA,1,0.01
Fazenda Vale,1,0.01
