og_voo,qtde_ocorr,perc_ocorr
VITÓRIA DA CONQUISTA,12,0.12
ERECHIM,12,0.12
PRESIDENTE PRUDENTE,12,0.12
ORLANDO BEZERRA DE MENEZES,11,0.11
ADALBERTO MENDES DA SILVA,11,0.11
PLÁCIDO DE CASTRO,11,0.11
MÁRIO RIBEIRO,11,0.11
BAHIA - JORGE AMADO,11,0.11
ATIBAIA,11,0.11
BRIGADEIRO CABRAL,11,0.11
CABO FRIO,10,0.1
PRESIDENTE JOÃO BATISTA FIGUEIREDO,10,0.1
ALTAMIRA,10,0.1
PREFEITO RENATO MOREIRA,10,0.1
REGIONAL HUGO CANTERGIANI,10,0.1
OURILÂNDIA DO NORTE,9,0.09
TERUEL IPANEMA ESTÂNCIA,9,0.09
GENERAL LEITE DE CASTRO,9,0.09
AEROCLUBE DE ITÁPOLIS,9,0.09
COROA DO AVIÃO,9,0.09
BARTOLOMEU LISANDRO,8,0.08
NOVO PROGRESSO,8,0.08
BEBEDOURO,8,0.08
TANGARÁ DA SERRA,8,0.08
JORGE NEWBERY AIRFIELD,8,0.08
MÁRIO DE ALMEIDA FRANCO,8,0.08
SENADOR NILO COELHO,8,0.08
CARAUARI,8,0.08
REDENÇÃO,8,0.08
PREFEITO ORLANDO MARINHO,8,0.08
GASTÃO MADEIRA,8,0.08
FAZENDA IROHY,8,0.08
BALSAS,8,0.08
RESENDE,7,0.07
SANTO ANTÔNIO DE LEVERGER,7,0.07
MONTENEGRO,7,0.07
SÃO TOMÉ,7,0.07
SANTO ÂNGELO,7,0.07
CATULEVE,7,0.07
ABA,7,0.07
SÃO BORJA,7,0.07
MIAMI INTERNATIONAL AIRPORT,7,0.07
PIRAQUARA,7,0.07
CORONEL AVIADOR CARLOS ORLEANS GUIMARÃES,7,0.07
ESTADUAL DARIO GUARITA,7,0.07
VIRGÍLIO TÁVORA,7,0.07
RIO CLARO,7,0.07
GERALDO GUIAS DE AQUINO,7,0.07
CARLOS RUHL,7,0.07
TATUÍ,6,0.06
PICOS,6,0.06
BELÉM NOVO,6,0.06
NOVO HAMBURGO,6,0.06
FRANK MILOYE MILENKOVICH,6,0.06
JOÃO CORREA DA ROCHA,6,0.06
ARAGUAÍNA,6,0.06
SÃO FÉLIX DO XINGU,6,0.06
CORUMBÁ,6,0.06
CORONEL ALEXANDRE RAPOSO,6,0.06
CRUZEIRO DO SUL,6,0.06
PONTA PORÃ,6,0.06
Francisco Beltrão,6,0.06
PRIMAVERA DO LESTE,6,0.06
MANUEL URBANO,6,0.06
JATAÍ,6,0.06
CANELA,6,0.06
ASSOCIAÇÃO TOCANTINENSE DE AVIAÇÃO,6,0.06
CARAJÁS,6,0.06
ARAPONGAS,6,0.06
FORMOSA,6,0.06
HELICIDADE,6,0.06
CARATINGA,6,0.06
CARAZINHO,6,0.06
POUSADA DAS ÁGUIAS,6,0.06
PORTO URUCU,6,0.06
CONDOMÍNIO LARANJEIRAS,5,0.05
CASA BRANCA,5,0.05
MOJI MIRIM,5,0.05
COMANDANTE MUNIR DJABAK,5,0.05
PILOTO OSVALDO MARQUES DIAS,5,0.05
ARAGARÇAS,5,0.05
JUSCELINO KUBITSCHECK,5,0.05
RANCHO SUMIDOR,5,0.05
BORBA,5,0.05
REGIONAL SUL,5,0.05
REGIONAL ORLANDO VILLAS BOAS,5,0.05
TORRES,5,0.05
TIETÊ,5,0.05
TERRAVISTA,5,0.05
JUÍNA,5,0.05
ASSOCIAÇÃO RECREATIVA FAZENDA BONANZA,5,0.05
ESTÂNCIA SANTA RITA,5,0.05
RECREIO,5,0.05
GUARAPARI,5,0.05
EFAI,5,0.05
OSCAR LARANJEIRAS,5,0.05
LUÍS DAL CANALLE FILHO,5,0.05
SANTA CRUZ DO SUL,5,0.05
CACHOEIRA DO SUL,5,0.05
ÂNGELO PONZONI,5,0.05
PIQUIATUBA,5,0.05
BOM FUTURO,5,0.05
BREVES,5,0.05
ESTÂNCIA HÉRCULES,5,0.05
MARICÁ,5,0.05
AEROCLUBE DE PASSO FUNDO,5,0.05
CENTRO NACIONAL DE PÁRA-QUEDISMO,5,0.05
AEROCLUBE DE JOÃO PESSOA,5,0.05
LEME,5,0.05
TABATINGA,5,0.05
PELOTAS,5,0.05
SANTA ROSA DO PURUS,4,0.04
HELICENTRO BH,4,0.04
CURVELO,4,0.04
SANTA ROSA,4,0.04
CORONEL ALTINO MACHADO,4,0.04
SÃO JOSÉ,4,0.04
SÃO JOAQUIM DA BARRA,4,0.04
CÁCERES,4,0.04
CAVU - CLUBE DE AVIAÇÃO ULTRALEVE,4,0.04
MAJOR BRIGADEIRO TROMPOWSKY,4,0.04
DOMINGOS PIGNATARI,4,0.04
CORREIA PINTO,4,0.04
FAZENDA RIBEIRÃO,4,0.04
PORTO NACIONAL,4,0.04
AERODROMO DE PARAGOMINAS,4,0.04
SÃO PEDRO,4,0.04
ESTÂNCIA MACHADO,4,0.04
FAZENDA SERRA GRANDE,4,0.04
LAURO KURTZ,4,0.04
CEL PM CÍCERO DANTAS DOS SANTOS,4,0.04
SÍTIO POUSO DO AVIADOR,4,0.04
QUIRINÓPOLIS,4,0.04
AEROCLUBE DE BENTO GONÇALVES,4,0.04
ANGRA DOS REIS,4,0.04
PARATI,4,0.04
BOTELHO,4,0.04
JÚLIO BÉLEM,4,0.04
ALENQUER,4,0.04
GUARATINGUETÁ,4,0.04
FAZENDA ÁGUA LIMPA,4,0.04
PATOS DE MINAS,4,0.04
ORIXIMINÁ,4,0.04
MUNICIPAL DE GUARATUBA,4,0.04
SILVIO PETTIROSSI INTERNATIONAL AIRPORT,4,0.04
NOVO CAMPO,4,0.04
BARRA DO VENTO,4,0.04
BARREIRAS,4,0.04
IBITINGA,4,0.04
PARAÍSO DO TOCANTINS,3,0.03
PIMENTA BUENO,3,0.03
AEROPUERTO INTERNACIONAL EL DORADO,3,0.03
TEIXEIRA DE FREITAS,3,0.03
FAZENDA SÃO JOÃO,3,0.03
PATROCÍNIO,3,0.03
PALMEIRA DAS MISSÕES,3,0.03
GRUPO TÁTICO AÉREO,3,0.03
GUAXUPÉ,3,0.03
CONFRESA,3,0.03
ESTÂNCIA CAIMAN,3,0.03
CLUBE DE VOO ITAIPU,3,0.03
GURUPI,3,0.03
UBÁ,3,0.03
OLHOS D'ÁGUA,3,0.03
EL DORADO,3,0.03
GARIBALDI,3,0.03
SEVERINO LOPES,3,0.03
COARI,3,0.03
FILIAL CAMPO FLORIDO,3,0.03
NOSSA SENHORA DO LORETO,3,0.03
HELIPARK,3,0.03
AEROPORTO HUMBERTO DELGADO,3,0.03
ARIQUEMES,3,0.03
BASE DE AVIAÇÃO DE TAUBATÉ,3,0.03
REGIONAL DA ZONA DA MATA,3,0.03
NELSON RODRIGUES GUIMARÃES,3,0.03
BARTOLOMEU DE GUSMÃO,3,0.03
CHÁCARA PARAÍSO,3,0.03
OSÓRIO,3,0.03
EMBRAER - UNIDADE GAVIÃO PEIXOTO,3,0.03
NOVO ARIPUANÃ,3,0.03
BRIGADEIRO CAMARÃO,3,0.03
DIX-SEPT ROSADO,3,0.03
AEROCLUBE DE BAGÉ,3,0.03
JACAREACANGA,3,0.03
SIQUEIRA CAMPOS,3,0.03
CACOAL,3,0.03
MUNICIPAL JOSÉ FIGUEIREDO,3,0.03
MÁRIO PEREIRA LOPES,3,0.03
CATANDUVA,3,0.03
DOUTOR RAMALHO FRANCO,3,0.03
LUÍS EDUARDO MAGALHÃES,3,0.03
BRIGADEIRO FÁBIO PEREIRA DA SILVEIRA,3,0.03
IVAÍ AEROAGRÍCOLA,3,0.03
JI-PARANÁ,3,0.03
VIDE BULA,3,0.03
LAVRAS,3,0.03
FAZENDA ESPÍRITO SANTO,3,0.03
Comandante Ariston Pessoa,3,0.03
CASSILÂNDIA,3,0.03
MARCELO PIRES HALZHAUSEN,3,0.03
ITANHAÉM,3,0.03
FAZENDA BOM JARDIM,3,0.03
FAZENDA PONTE SERRADA - MT,3,0.03
JORGE CHÁVEZ INTERNATIONAL AIRPORT,3,0.03
MIRASSOL,3,0.03
AEROPUERTO INTERNACIONAL MINISTRO PISTARINI,3,0.03
XAVANTINA,3,0.03
ITAPERUNA,3,0.03
MAX FONTOURA,3,0.03
SÃO PAULO CATARINA AEROPORTO EXECUTIVO,3,0.03
SANTA ISABEL DO RIO NEGRO,2,0.02
SÃO GABRIEL,2,0.02
AMSTERDAM AIRPORT SCHIPHOL,2,0.02
SALINAS,2,0.02
ROSÁRIO DO SUL,2,0.02
APLIC AVIAÇÃO AGRÍCOLA II,2,0.02
ARUANÃ,2,0.02
ARARAS,2,0.02
SÃO GABRIEL DA CACHOEIRA,2,0.02
RIO BRILHANTE,2,0.02
AERÓDROMO DE ITURAMA,2,0.02
SÃO JOÃO DEL REI,2,0.02
ARAPIRACA,2,0.02
REGIONAL DE RIO GRANDE,2,0.02
JOÃO GALDINO,2,0.02
SANTA TEREZINHA,2,0.02
SANTA MARIA DA VITÓRIA,2,0.02
PARQUE ANA COSTA,2,0.02
SURUCUCU,2,0.02
ALTO MUCAJAÍ,2,0.02
PAULO AFONSO,2,0.02
TITO TEIXEIRA,2,0.02
SÃO LUIZ,2,0.02
PARANAÍBA,2,0.02
PARACATU,2,0.02
PALMEIRAS DE GOIÁS,2,0.02
PALIMIÚ,2,0.02
TRES LAGOAS,2,0.02
PRAINHA,2,0.02
SÃO MIGUEL DO ARAGUAIA,2,0.02
BARRA DO GARÇAS,2,0.02
ROMEU ZEMA,2,0.02
