fabricante,qtde_ocorr,perc_ocorr
MONTAER LTDA.,1,0.01
MICROLEVE LTDA,1,0.01
MARIO CARLOS CARDOSO,1,0.01
MARCOS AURELIO DA SILVA,1,0.01
MENDES-ADM PARTICIPACOES E EMPREENDIMENTOS LTDA,1,0.01
MARCOS A.S. SILVA,1,0.01
MARCO AURELIO M. DE SOUSA,1,0.01
MARCO AUGUSTO SCOBOZA GULIN,1,0.01
MARCO ANTONIO FREITAS JUNIOR,1,0.01
LUCIANO LOBAO,1,0.01
LOUIS CRAIG WOODSON HARTMAN,1,0.01
LEONARDO HELICOPTER,1,0.01
LAKE AIRCRAFT,1,0.01
INDETERMINADO,1,0.01
NORTH LAND,1,0.01
OGLACIR ALVES SPENCE,1,0.01
JOHN SEELY,1,0.01
KURT KOFLER,1,0.01
KAPPA 77,1,0.01
KAIO AMARAL RANGEL,1,0.01
JULIO CESAR MANDELLI,1,0.01
JOÃO ISMAEL VICENTINI,1,0.01
JOÃO FRANÇA NETO,1,0.01
JOSE MAINHARDT,1,0.01
JOSE CALEIDE,1,0.01
JOSE ANTONIO ZATTAR JR,1,0.01
JOAO LUIZ FAUSTINO,1,0.01
JOAO L TEIXEIRA,1,0.01
LABORTEC ENGENHARIA LTDA,1,0.01
JOAO HENRIQUE SIGNORELLI DRAEGER,1,0.01
JOAO BATISTA COUTINHO JUNIOR,1,0.01
JIM DICKINSON,1,0.01
JAMES F GUZMAN,1,0.01
JAMAICA EMBALAGEM LTDA,1,0.01
IVAN MOLCHAN,1,0.01
IVAN CESAR ROSSONI,1,0.01
ISMAEL FERNANDES NUNES JUNIOR,1,0.01
KORTH SIMEON R \t,1,0.01
INPAER INDÚSTRIA PAULISTA DE AERONÁUTICA,1,0.01
FRANCISCO BRAGANTE JUNIOR,1,0.01
QUINTINO ROMAGNA FILHO,1,0.01
HUGHES HELICOPTER,1,0.01
FERNANDO SOARES GURGEL,1,0.01
HOTEL CHAMA LTDA ME,1,0.01
HONDA  AIRCRAFT COMPANY,1,0.01
HERMANO VIANNA,1,0.01
HELIO NEGRI FERNANDES,1,0.01
HELIO APARECIDO GARDINI,1,0.01
HAROLDO CARNEIRO LEAO SOBRINHO,1,0.01
HAMILTON SANTIAGO REIS JUNIOR,1,0.01
GLOBE AIRCRAFT,1,0.01
GLAUCO ANDRE MACHADO - ME,1,0.01
GIPPSLAND,1,0.01
GILBERTO MONTENEGRO COSTA FILHO,1,0.01
FRANCISCO E.D.,1,0.01
FOX V5,1,0.01
FLYER INDÚSTRIA AERONÁUTICA LTDA,1,0.01
FLYER INDÚSTRIA AERONÁUTICA,1,0.01
FLYER IND. AERONÁUTICA LTDA,1,0.01
FLYER,1,0.01
FLAVIO GIMENIS FERNANDES,1,0.01
FLAVIO BUCHALLA,1,0.01
COMMANDER,1,0.01
FAUD MIGUEL D'EPIRO,1,0.01
FILIPE LEITE DE AZEVEDO SODRAK,1,0.01
FABIO LUIZ DE ALMEIDA,1,0.01
EMERSON DE SOUZA PEDRO,1,0.01
EURIPIDES MOURA FERREIRA FILHO,1,0.01
ENIO ROBERTO WILDNER,1,0.01
ENOCK RESENDE JUNIOR,1,0.01
ERICO BROSSI,1,0.01
EXTRA-FLUGZEUGBAU,1,0.01
EUROPA AVIATION,1,0.01
EVALDO TORRES SANTOS,1,0.01
ELIAS GUTIERREZ JUNIOR,1,0.01
FABIANO COSTA,1,0.01
EDUARDO F. H. GONTIJO,1,0.01
DN DISTRIBUIDORA E REPRESENTACOES LTDA,1,0.01
ELDO COELHO DE CASTRO,1,0.01
EIRIAVION,1,0.01
EDUARDO LEITO BRUNIALTI,1,0.01
FABRICAÇÃO PRÓPRIA,1,0.01
EDSON PIMENTEL MATHEUS,1,0.01
EDRA HELICENTRO,1,0.01
EDEVALDO MARTINS FERREIRA,1,0.01
EADS AIRBUS,1,0.01
DOREEDSON RIBEIRO PEREIRA,1,0.01
DANIEL DO PRADO FERREIRA PINTO,1,0.01
CIMAER AER. E PROD. AERONAUTICOS LTDA,1,0.01
CLINICA MEDICA PRIETO & ANTUNES LTDA.,1,0.01
BOMBARDIER CANADAIR,1,0.01
