dest_voo,qtde_ocorr,perc_ocorr
CIBRASA,1,0.01
CIA. BRASILEIRA DE ALUMÍNIO,1,0.01
HELMUTH BAUNGARTEM,1,0.01
CHÁCARA MARINGÁ,1,0.01
CHICAGO O'HARE INTERNATIONAL AIRPORT,1,0.01
PATROCÍNIO,1,0.01
CHAPADÃO DO SUL,1,0.01
HELPN GOIS,1,0.01
CERES,1,0.01
CEOLIN GRÃOS E FIBRA,1,0.01
PETROBRAS 07,1,0.01
CENTRO EMPRESARIAL NAÇÕES UNIDAS-TORRE NORTE,1,0.01
PETROBRAS 35,1,0.01
CELTIC SEA,1,0.01
PETROBRAS 37,1,0.01
JOHN F. KENNEDY INTERNATIONAL AIRPORT,1,0.01
PETROBRAS P53,1,0.01
OLAVO CECCO RIGON,1,0.01
JEQUIÉ,1,0.01
CAMPINA VERDE,1,0.01
Umberto Modiano,1,0.01
PINHEIRO,1,0.01
USINA SANTA LYDIA,1,0.01
USINA SÃO MARTINHO,1,0.01
PIRASSUNUNGA,1,0.01
CARINHANHA,1,0.01
HOMOXI,1,0.01
PIRES DO RIO,1,0.01
VACARIA NOVO,1,0.01
PISTA ALDEIA KENJDÃ,1,0.01
CARACARAÍ,1,0.01
PETROBRAS 65,1,0.01
CAPÃO DA CANOA,1,0.01
CAPITÃO PM PAULO JOSÉ DE MENEZES FILHO,1,0.01
CAPITÃO JOÃO BUSSE,1,0.01
PISTA NAÇÕES UNIDAS,1,0.01
PISTA PLÁ E SILVA,1,0.01
PIMENTA BUENO,1,0.01
HOSPITAL ALBERT EINSTEIN,1,0.01
HOTEL PORTOBELLO,1,0.01
CAMPOS BELOS,1,0.01
PIRAPORA,1,0.01
JIHAD DEHAINI,1,0.01
CAMPO DE FONTENELLE,1,0.01
POUSO NA SERRA,1,0.01
IATE CLUBE DE SANTOS - ANGRA DOS REIS,1,0.01
BCW,1,0.01
USINA PORTO RICO,1,0.01
POLVO A,1,0.01
CACULÉ,1,0.01
PONTA DO SOL,1,0.01
CACHOEIRO DE ITAPEMIRIM,1,0.01
PONTES E LACERDA,1,0.01
VEJA,1,0.01
TANCREDO THOMAS DE FARIA,1,0.01
BRIGADEIRO LYSIAS AUGUSTO RODRIGUES,1,0.01
BRIGADEIRO FÁBIO PEREIRA DA SILVEIRA,1,0.01
PORTO WALTER,1,0.01
POUSADA DO RIO ROOSEVELT,1,0.01
CATRIMANI I,1,0.01
POUSADA THAIMAÇU,1,0.01
PRA-1,1,0.01
HÉLIO WASUM,1,0.01
PREFEITURA DO RIO DE JANEIRO,1,0.01
BONITO,1,0.01
TABULEIRO,1,0.01
PRESIDENTE VENCESLAU,1,0.01
PRIMAVERA,1,0.01
PRIMO BITTI,1,0.01
SÓCRATES MARIANI BITTENCOURT,1,0.01
Pista Paulo V,1,0.01
OCOREMA,1,0.01
SANTIAGO,1,0.01
ALENQUER,1,0.01
QUADRA HUNGRIA,1,0.01
QUATRO VENTOS,1,0.01
BARROCO LOPES,1,0.01
QUERARI,1,0.01
QUIXADÁ,1,0.01
BARRA DO VENTO,1,0.01
RANCHO VILLELA,1,0.01
BARRA DO BUGRES,1,0.01
BARRA,1,0.01
REGIONAL DE RIO GRANDE,1,0.01
BANESPA REPÚBLICA,1,0.01
BANDEIRANTES,1,0.01
IRECÊ,1,0.01
REMANSO,1,0.01
REOBOT,1,0.01
BAIXO MUCAJAÍ,1,0.01
BAIXO CATRIMANI,1,0.01
RESERVA ACURIZAL,1,0.01
VIRGÍLIO TÁVORA,1,0.01
AÇU,1,0.01
Aeródromo Serra Branca Agrícola,1,0.01
Aeródromo Privado Fazenda Maringá III,1,0.01
RIO BRILHANTE,1,0.01
Aeroporto Regional do Planalto Serrano,1,0.01
RIO PARANAÍBA,1,0.01
Aero Parque Tupã,1,0.01
AVL,1,0.01
RODRIGUES,1,0.01
ROLIM DE MOURA,1,0.01
ROME CIAMPINO AIRPORT,1,0.01
SÍTIO SANTA CHIARA,1,0.01
ASAS DE BALSA NOVA,1,0.01
ARUANÃ,1,0.01
ARIPUANÃ,1,0.01
ROSANA CAMARGO,1,0.01
JANUÁRIA,1,0.01
RUY BARBOSA,1,0.01
ARAPIRACA,1,0.01
SÍTIO POUSO DO AVIADOR,1,0.01
SALGUEIRO,1,0.01
SANTA ANASTÁCIA I,1,0.01
SANTA CECÍLIA,1,0.01
APLIC AVIAÇÃO AGRÍCOLA II,1,0.01
ILHA DA JIPÓIA,1,0.01
WALFRIDO SAMITO DE ALMEIDA,1,0.01
SANTA MARIA DA VITÓRIA,1,0.01
WARPOL,1,0.01
AMBRÓSIO,1,0.01
ALTO PARAÍSO DE GOIÁS,1,0.01
SANTA RITA DE CÁSSIA,1,0.01
ALMEIRIM,1,0.01
JEOVÁ GOMES,1,0.01
Pousada Pirá-Açu,1,0.01
ALDEIA,1,0.01
AEROPORTO DE FRANKFURT ALEMANHA,1,0.01
SANTA RITA DO ARAGUAIA,1,0.01
AGROPECUÁRIA SÃO ROBERTO,1,0.01
AGROPECUÁRIA CÉU ABERTO LTDA,1,0.01
ILHA DO CARACARÁ,1,0.01
AGRISHOW,1,0.01
AGRIFOR,1,0.01
SANTA VITÓRIA DO PALMAR,1,0.01
XAVANTINA,1,0.01
XIDEA,1,0.01
AERÓDROMO MUNICIPAL DE LINHARES,1,0.01
AERÓDROMO FAZENDA ACF,1,0.01
WILIMON,1,0.01
AERÓDROMO DO CANARINHO,1,0.01
IMIGRANTES,1,0.01
SEBASTIÃO JOSÉ PEREIRA,1,0.01
AEROPORTO MUNICIPAL BOM FUTURO,1,0.01
AEROPORTO INTERNACIONAL JOHN F. KENNEDY,1,0.01
SEMENTES BEÉ,1,0.01
INGAZEIRA,1,0.01
AEROPORTO INTERNACIONAL DE MEMPHIS,1,0.01
AEROPORTO INTERNACIONAL DE CARRASCO - GENERAL CESARIO L BERISSO,1,0.01
AEROPORTO INTERNACIONAL CAPITAN CORBETA CA CURBELO,1,0.01
SERRA DA CAPIVARA,1,0.01
AEROPORTO ELIAS BREDER,1,0.01
AEROPORTO AGROER AVIAÇÃO,1,0.01
ALASKAN STAR,1,0.01
SERRA DO SOL,1,0.01
ÁGUAS CLARAS AVIAÇÃO AGRÍCOLA,1,0.01
ITABERABA,1,0.01
AEROCLUBE DE SOCORRO,1,0.01
SILVIO PETTIROSSI INTERNATIONAL AIRPORT,1,0.01
SKANDI NITEROI,1,0.01
ITABORAÍ,1,0.01
SUBESTAÇÃO SÃO ROQUE,1,0.01
SUNSET,1,0.01
AEROCLUBE DE FREDERICO WESTPHALEN,1,0.01
SÃO CHICO,1,0.01
AEROCLUBE DE CAMPINA GRANDE,1,0.01
JANAÚBA,1,0.01
TORONTO PEARSON INTERNATIONAL AIRPORT,1,0.01
ITAJAÍ/CAMPO COMANDANTES,1,0.01
AEROCLUBE DE AQUIDAUANA,1,0.01
JABOTICABAL,1,0.01
AEROCAMPO,1,0.01
AERO DO VALE MIRACATU,1,0.01
SÃO LOURENÇO,1,0.01
SÃO LUIZ,1,0.01
ACERGY CONDOR,1,0.01
ABA,1,0.01
AAGV - Associação Aerodesportiva de Getulio Vargas,1,0.01
ITUVERAVA,1,0.01
