dest_voo,qtde_ocorr,perc_ocorr
FAZENDA SANTO ANTÔNIO,2,0.02
FAZENDA SURI,2,0.02
FAZENDA SÃO MARCO,2,0.02
FLY CLUB,2,0.02
AUGUSTO SEVERO,2,0.02
TUPI PAULISTA,2,0.02
Aeroporto Regional de Pato Branco,2,0.02
Aeroporto Regional do Vale do Aço,2,0.02
CANGAPARA,2,0.02
CASSILÂNDIA,2,0.02
FAZENDA SERRA GRANDE,2,0.02
VERA CRUZ,2,0.02
BOM DESPACHO,2,0.02
Clube Céu,2,0.02
CHÁCARA PARAÍSO,2,0.02
CORUMBÁ,2,0.02
CORRENTINA,2,0.02
VILA RICA,2,0.02
BAURU/AREALVA (SJTC*),2,0.02
CRISTIANO FERREIRA VARELLA,2,0.02
IVAÍ AEROAGRÍCOLA,2,0.02
BOQUIRA,2,0.02
COLIDER,2,0.02
COLATINA,2,0.02
COMANDANTE GUSTAVO KRAEMER,2,0.02
CLUBE DE VOO AEROQUADRA,2,0.02
FRANCISCO LACERDA JÚNIOR,1,0.01
GUARARAPES,1,0.01
ÉRICO,1,0.01
JPO,1,0.01
LAGO VERDE,1,0.01
LENÇÓIS PAULISTA,1,0.01
GERALDO MOACIR BORDON,1,0.01
FAZENDA SÃO SEBASTIÃO,1,0.01
TIBAGI,1,0.01
TROMBETAS,1,0.01
TRIMONTE,1,0.01
LUÍS DAL CANALLE FILHO,1,0.01
Fazenda Valiosa,1,0.01
GASTÃO DE MESQUITA FILHO,1,0.01
MAJOR BRIGADEIRO DO AR DOORGAL GOMES,1,0.01
Fazenda Vale,1,0.01
Fazenda Uberaba,1,0.01
Fazenda Matrinchã,1,0.01
Fazenda Jacuí,1,0.01
Fazenda Dois Irmãos,1,0.01
Fazenda Campo Grande,1,0.01
FREDERICO WESTPHALEN,1,0.01
MANALAI,1,0.01
TRÊS MARIAS,1,0.01
LARANJAL,1,0.01
FAZENDA ÁGUA AZUL,1,0.01
FPSO FLUMINENSE,1,0.01
FAZENDA VISTA BONITA,1,0.01
MINAÇU,1,0.01
JOÃO SILVA,1,0.01
MARACÁS,1,0.01
FLYGHT COMPANY,1,0.01
MARBORGES,1,0.01
Takeo Noguchi,1,0.01
TERRA SANTA,1,0.01
FEIJÓ,1,0.01
FAZENDA ÁGUA SANTA,1,0.01
FAZENDA ÁGUA LIMPA,1,0.01
MANDUCA LEÃO,1,0.01
FAZENDA VISTA ALEGRE,1,0.01
FPSO CIDADE DE SANTOS MV20,1,0.01
FAZENDA VISA ESTÂNCIA,1,0.01
FAZENDA VASSOURAL,1,0.01
Ten. Brig. Ar Waldir de Vasconcelos,1,0.01
FAZENDA UNIÃO SUZANÓPOLIS,1,0.01
FAZENDA TRÊS MINAS,1,0.01
SÃO MIGUEL DO ARAGUAIA,1,0.01
FAZENDA TRADIÇÃO,1,0.01
FAZENDA THÁLIA,1,0.01
FAZENDA TAUÁ,1,0.01
FAZENDA SÃO SEBASTIÃO DO JATOBAZINHO,1,0.01
FPSO - FRADE,1,0.01
LUÍS EDUARDO MAGALHÃES,1,0.01
FAZENDA SÃO JOAQUIM,1,0.01
FAZENDA SÃO PEDRO,1,0.01
TERMAS POUSADA DO RIO QUENTE,1,0.01
FAZENDA SÃO LOURENÇO,1,0.01
MARECHIARO,1,0.01
FAZENDA SÃO JOSÉ DAS REUNIDAS,1,0.01
MINEIROS,1,0.01
FAZENDA SÃO GABRIEL,1,0.01
FAZENDA SÃO FRANCISCO,1,0.01
JOÃO GALDINO,1,0.01
FAZENDA SPERAFICO,1,0.01
FAZENDA SONORA ESTÂNCIA,1,0.01
FAZENDA SONHO DOURADO,1,0.01
FAZENDA SIMARELLI,1,0.01
MARINA DO CARAIPÉ,1,0.01
FAZENDA SÃO LUIZ,1,0.01
MARISOL,1,0.01
FAZENDA SANTO ANJO,1,0.01
JOÃO FONSECA - AM,1,0.01
FAZENDA SANTANA,1,0.01
